Year+Month,Station,Land+Ocean,Land_Only,Open_Ocean
1956.21,-0.28,-0.21,-0.49,-0.13
1956.29,-0.25,-0.28,-0.5,-0.2
1956.38,-0.28,-0.29,-0.47,-0.2
1956.46,-0.06,-0.15,-0.2,-0.18
1956.54,-0.07,-0.09,-0.12,-0.15
1956.63,-0.34,-0.25,-0.49,-0.14
1956.71,-0.14,-0.19,-0.28,-0.19
1956.79,-0.22,-0.23,-0.36,-0.12
1956.88,-0.22,-0.15,-0.39,-0.07
1956.96,-0.17,-0.06,-0.3,-0.04
1957.04,-0.09,-0.09,-0.33,-0.04
1957.13,-0.01,-0.03,-0.16,-0.04
1957.21,-0.05,-0.05,-0.22,-0.01
1957.29,0.04,0,-0.2,0.05
1957.38,0.03,0.09,-0.07,0.16
1957.46,0.19,0.16,0.22,0.11
1957.54,-0.04,0.02,-0.19,0.14
1957.63,0.19,0.15,0.19,0.11
1957.71,0.15,0.09,0.12,0.05
1957.79,0.03,0.01,0,0.01
1957.88,0.19,0.08,0.25,0.02
1957.96,0.21,0.15,0.61,0.06
1958.04,0.44,0.39,0.91,0.1
1958.13,0.26,0.22,0.47,0.1
1958.21,0.17,0.09,0.06,0.09
1958.29,0.08,0.01,-0.04,0.1
1958.38,0.14,0.06,0.26,0
1958.46,-0.21,-0.08,-0.32,0.09
1958.54,0.08,0.05,0.14,0.06
1958.63,-0.1,-0.05,-0.21,0.08
1958.71,-0.09,-0.02,-0.16,0.07
1958.79,0.1,0.04,0.03,0.05
1958.88,0.1,0.02,0.13,0.02
1958.96,-0.07,0.01,0,0.06
1959.04,0.04,0.08,0.15,0.04
1959.13,0.08,0.07,0.04,0.05
1959.21,0.23,0.18,0.52,0.02
1959.29,0.24,0.16,0.43,-0.01
1959.38,0,0.04,0.03,0.04
1959.46,0.09,0.03,0.12,0
1959.54,0.05,0.03,0.16,0
1959.63,0.01,-0.01,0.04,0
1959.71,-0.15,-0.06,-0.15,0.03
1959.79,-0.08,-0.07,-0.23,0.03
1959.88,-0.06,-0.08,-0.4,-0.02
1959.96,0.11,0,0.02,-0.04
1960.04,0.05,0,0,-0.03
1960.13,0.25,0.13,0.53,-0.02
1960.21,-0.51,-0.35,-1.06,0.01
1960.29,-0.24,-0.15,-0.32,-0.02
1960.38,-0.15,-0.08,-0.43,0.03
1960.46,-0.04,-0.04,-0.01,-0.07
1960.54,-0.13,-0.04,-0.17,0.02
1960.63,0.06,0.02,-0.02,0.03
1960.71,0.07,0.07,0.08,0.06
